City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Labuhan,ID,2021-09-18 18:40:20,-6.8844,112.2051,78.19,81,99,7.0
68,Touros,BR,2021-09-18 18:40:20,-5.1989,-35.4608,86.9,62,11,19.24
69,Aksu,CN,2021-09-18 18:40:20,41.1231,80.2644,73.94,27,0,4.76
70,Bonavista,CA,2021-09-18 18:40:21,48.6499,-53.1147,66.2,83,74,20.4
71,Mayumba,GA,2021-09-18 18:40:21,-3.432,10.6554,75.27,85,100,8.46
72,Yellowknife,CA,2021-09-18 18:40:21,62.456,-114.3525,48.72,57,75,18.41
73,Skjervoy,NO,2021-09-18 18:40:22,70.0311,20.9714,47.7,71,100,12.46
74,Cabo San Lucas,MX,2021-09-18 18:37:16,22.8909,-109.9124,91.81,66,20,2.3
75,Chebsara,RU,2021-09-18 18:40:22,59.2002,38.8356,38.53,82,7,5.37
76,Chapais,CA,2021-09-18 18:40:23,49.7834,-74.8492,53.38,71,100,8.01
77,Laguna,US,2021-09-18 18:38:38,38.421,-121.4238,77.65,65,1,5.01
78,Port Elizabeth,ZA,2021-09-18 18:36:04,-33.918,25.5701,61.11,72,20,20.71
79,Anchorage,US,2021-09-18 18:36:50,61.2181,-149.9003,47.95,77,75,1.01
80,La Ronge,CA,2021-09-18 18:40:23,55.1001,-105.2842,53.85,58,90,6.91
81,Pacific Grove,US,2021-09-18 18:40:23,36.6177,-121.9166,72.57,71,40,4.0
82,Waingapu,ID,2021-09-18 18:39:51,-9.6567,120.2641,75.94,83,29,7.9
83,Andros Town,BS,2021-09-18 18:40:24,24.7,-77.7667,78.76,67,17,9.98
84,Qaanaaq,GL,2021-09-18 18:40:24,77.484,-69.3632,14.99,73,95,6.02
85,Aqtobe,KZ,2021-09-18 18:40:24,50.2797,57.2072,41.09,52,0,6.71
86,Paamiut,GL,2021-09-18 18:40:25,61.994,-49.6678,37.24,82,8,14.09
87,Tuatapere,NZ,2021-09-18 18:40:25,-46.1333,167.6833,40.82,92,100,7.4
88,Sao Filipe,CV,2021-09-18 18:40:25,14.8961,-24.4956,78.96,84,81,9.55
89,East London,ZA,2021-09-18 18:40:26,-33.0153,27.9116,61.74,67,20,11.5
90,Hervey Bay,AU,2021-09-18 18:40:26,-25.2986,152.8535,57.04,72,7,2.62
91,Bethel,US,2021-09-18 18:40:26,41.3712,-73.414,83.68,69,40,1.01
92,Miandrivazo,MG,2021-09-18 18:40:27,-19.5167,45.4667,72.52,63,11,5.08
93,Bosaso,SO,2021-09-18 18:40:27,11.2842,49.1816,91.76,49,14,4.74
94,Loiza,PR,2021-09-18 18:40:27,18.4313,-65.8802,88.81,62,40,12.66
95,Aksarka,RU,2021-09-18 18:40:28,66.5606,67.7975,32.07,96,100,31.83
96,Tasiilaq,GL,2021-09-18 18:38:34,65.6145,-37.6368,39.36,69,20,3.98
97,Nyurba,RU,2021-09-18 18:40:28,63.2842,118.3319,28.54,87,12,3.24
98,Barrow,US,2021-09-18 18:40:28,71.2906,-156.7887,30.22,86,40,9.22
99,Payson,US,2021-09-18 18:37:55,40.0444,-111.7321,73.99,56,75,17.27
100,Mar Del Plata,AR,2021-09-18 18:36:43,-38.0023,-57.5575,62.62,63,0,10.36
101,Klaksvik,FO,2021-09-18 18:40:29,62.2266,-6.589,54.52,90,99,21.68
102,Hobart,AU,2021-09-18 18:40:20,-42.8794,147.3294,49.86,75,90,4.0
103,Husavik,IS,2021-09-18 18:40:29,66.0449,-17.3389,48.11,74,100,20.96
104,Pevek,RU,2021-09-18 18:40:30,69.7008,170.3133,30.27,69,100,12.3
105,Tuktoyaktuk,CA,2021-09-18 18:40:30,69.4541,-133.0374,39.2,100,90,4.61
106,Mahebourg,MU,2021-09-18 18:40:30,-20.4081,57.7,68.29,83,40,5.75
107,Jardim,BR,2021-09-18 18:40:31,-21.4803,-56.1381,105.64,15,49,6.78
108,Huarmey,PE,2021-09-18 18:40:31,-10.0681,-78.1522,67.89,70,6,10.92
109,Marinette,US,2021-09-18 18:40:31,45.1,-87.6307,72.16,43,1,6.91
110,Rosario,AR,2021-09-18 18:35:50,-32.9468,-60.6393,81.61,44,0,5.01
111,Hvittingfoss,NO,2021-09-18 18:40:32,59.4833,10.0167,53.69,51,100,1.28
112,Kruisfontein,ZA,2021-09-18 18:38:10,-34.0033,24.7314,58.89,72,0,17.47
113,Rawson,AR,2021-09-18 18:40:32,-43.3002,-65.1023,58.62,35,3,6.24
114,Ushtobe,KZ,2021-09-18 18:40:32,45.2514,77.9838,61.68,17,0,2.82
115,Senneterre,CA,2021-09-18 18:40:33,48.3835,-77.2328,59.22,46,100,6.31
116,Vardo,NO,2021-09-18 18:40:33,70.3705,31.1107,45.93,77,3,15.14
117,Kodinar,IN,2021-09-18 18:40:33,20.7903,70.7031,79.41,92,100,6.46
118,Vila Franca Do Campo,PT,2021-09-18 18:38:16,37.7167,-25.4333,70.21,66,98,7.49
119,Bathsheba,BB,2021-09-18 18:40:34,13.2167,-59.5167,90.21,62,40,13.8
120,Punta Arenas,CL,2021-09-18 18:40:35,-53.15,-70.9167,46.51,76,75,11.5
121,Byron Bay,AU,2021-09-18 18:40:35,-28.65,153.6167,66.15,75,76,6.44
122,Pocatello,US,2021-09-18 18:37:09,42.8713,-112.4455,80.73,28,1,15.01
123,Carnarvon,AU,2021-09-18 18:40:36,-24.8667,113.6333,60.87,77,0,14.97
124,Bulaevo,KZ,2021-09-18 18:40:36,54.9056,70.4439,43.23,90,100,8.88
125,Ca Mau,VN,2021-09-18 18:40:36,9.1769,105.15,76.86,92,100,4.59
126,Minab,IR,2021-09-18 18:40:37,27.1467,57.0801,89.1,62,0,3.06
127,Pagudpud,PH,2021-09-18 18:40:37,18.5616,120.7868,80.56,84,64,5.61
128,Talnakh,RU,2021-09-18 18:40:38,69.4865,88.3972,41.95,86,100,4.72
129,Alexandroupoli,GR,2021-09-18 18:40:38,40.8475,25.8744,67.82,88,20,0.0
130,Lebu,CL,2021-09-18 18:40:38,-37.6167,-73.65,54.14,57,12,10.67
131,Tutoia,BR,2021-09-18 18:40:39,-2.7619,-42.2744,87.78,68,6,13.91
132,Grand Gaube,MU,2021-09-18 18:40:39,-20.0064,57.6608,68.4,87,12,10.36
133,Paso De Carrasco,UY,2021-09-18 18:40:39,-34.8603,-56.0522,66.65,86,75,10.36
134,Nortelandia,BR,2021-09-18 18:40:39,-14.4547,-56.8028,105.6,10,2,5.59
135,Kot Kapura,IN,2021-09-18 18:40:40,30.5833,74.9,80.74,65,5,6.11
136,Saldanha,ZA,2021-09-18 18:40:40,-33.0117,17.9442,55.45,83,49,15.93
137,Kragero,NO,2021-09-18 18:40:40,58.8693,9.4149,54.57,74,94,7.63
138,Nishihara,JP,2021-09-18 18:40:41,26.1842,127.7558,79.88,82,40,6.91
139,Lumphat,KH,2021-09-18 18:40:41,13.4878,106.9816,73.58,96,100,3.09
140,Port Lincoln,AU,2021-09-18 18:40:41,-34.7333,135.8667,54.1,76,14,17.98
141,Ambanja,MG,2021-09-18 18:40:42,-13.6833,48.45,73.33,86,8,2.06
142,Puerto Ayora,EC,2021-09-18 18:38:03,-0.7393,-90.3518,80.56,90,80,7.0
143,Bambous Virieux,MU,2021-09-18 18:40:42,-20.3428,57.7575,68.25,83,40,5.75
144,Cape Town,ZA,2021-09-18 18:38:20,-33.9258,18.4232,60.12,79,0,1.01
145,Fomboni,KM,2021-09-18 18:40:43,-12.28,43.7425,78.57,76,4,15.14
146,Graham,US,2021-09-18 18:40:43,47.0529,-122.2943,61.09,91,1,0.0
147,Korla,CN,2021-09-18 18:40:43,41.7597,86.1469,71.62,24,0,1.28
148,Puerto Leguizamo,CO,2021-09-18 18:40:44,-0.1934,-74.7819,87.24,52,65,3.96
149,Clyde River,CA,2021-09-18 18:40:44,70.4692,-68.5914,32.23,69,90,8.05
150,Itarema,BR,2021-09-18 18:39:34,-2.9248,-39.9167,83.37,61,0,19.24
151,La Grande,US,2021-09-18 18:36:22,45.3246,-118.0877,66.2,62,100,5.91
152,Sola,VU,2021-09-18 18:40:45,-13.8833,167.55,77.67,94,90,0.0
153,Kochki,RU,2021-09-18 18:40:45,54.3358,80.4806,46.87,60,100,11.12
154,Saint-Joseph,RE,2021-09-18 18:40:45,-21.3667,55.6167,68.38,90,72,8.08
155,Kurchum,KZ,2021-09-18 18:40:45,48.5722,83.6542,49.55,79,0,3.78
156,Antsohihy,MG,2021-09-18 18:40:46,-14.8796,47.9875,73.62,85,46,3.98
157,Dunedin,NZ,2021-09-18 18:39:09,-45.8742,170.5036,44.8,78,100,3.0
158,Kodiak,US,2021-09-18 18:40:46,57.79,-152.4072,51.31,50,1,13.8
