City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
563,Tamandare,BR,71.8,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
564,Grass Valley,US,64.09,clear sky,41.2835,-70.0995,Jared Coffin House
574,Miracatu,BR,71.8,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
575,Sao Felix Do Xingu,BR,71.8,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
577,Ketchikan,US,64.09,clear sky,41.2835,-70.0995,Jared Coffin House
578,Cedar City,US,64.09,clear sky,41.2835,-70.0995,Jared Coffin House
581,Great Falls,US,64.09,clear sky,41.2835,-70.0995,Jared Coffin House
582,Angra,PT,69.28,overcast clouds,39.05,-27.9833,Casa Das Faias
587,Mahon,ES,62.24,few clouds,42.7762,-9.0603,Apartment Av. Castelao
597,Cururupu,BR,71.8,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
599,Saldanha,GB,61.3,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
601,Aguas Formosas,BR,71.8,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
604,Pombas,PT,71.71,broken clouds,32.6667,-17.1,Hotel do Campo
605,Santa Eulalia Del Rio,ES,62.24,few clouds,42.7762,-9.0603,Apartment Av. Castelao
609,Imbituba,BR,71.8,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
621,Boa Vista,BR,71.8,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
623,Cabedelo,BR,71.8,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
624,Salinas,EC,68.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
628,Pavullo Nel Frignano,IT,60.08,few clouds,45.3895,7.6499,B&B Il Grillo Bianco
630,Sena Madureira,BR,71.8,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
635,Mahebourg,MU,68.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
636,Toccoa,US,64.09,clear sky,41.2835,-70.0995,Jared Coffin House
644,Carire,BR,71.8,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
653,Amontada,BR,71.8,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
656,Camapua,BR,71.8,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
659,Natchez,US,64.09,clear sky,41.2835,-70.0995,Jared Coffin House
669,Manacapuru,BR,71.8,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
670,Homer,US,64.09,clear sky,41.2835,-70.0995,Jared Coffin House
696,Quatre Cocos,MU,68.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
